"Country","Store","Store Code","Brand","Category","Range","Size","Packaging","Reference","Link","Price","Currency","Week Code","Week Label","Week Start"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.55","EUR","S2025-14","Sem du 30-03-2025 au 05-04-2025","2025-03-30"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.55","EUR","S2025-15","Sem du 06-04-2025 au 12-04-2025","2025-04-06"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.55","EUR","S2025-16","Sem du 13-04-2025 au 19-04-2025","2025-04-13"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.55","EUR","S2025-17","Sem du 20-04-2025 au 26-04-2025","2025-04-20"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.55","EUR","S2025-18","Sem du 27-04-2025 au 03-05-2025","2025-04-27"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.55","EUR","S2025-19","Sem du 04-05-2025 au 10-05-2025","2025-05-04"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.15","EUR","S2025-20","Sem du 11-05-2025 au 17-05-2025","2025-05-11"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","0","EUR","S2025-21","Sem du 18-05-2025 au 24-05-2025","2025-05-18"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.15","EUR","S2025-22","Sem du 25-05-2025 au 31-05-2025","2025-05-25"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.15","EUR","S2025-23","Sem du 01-06-2025 au 07-06-2025","2025-06-01"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.15","EUR","S2025-24","Sem du 08-06-2025 au 14-06-2025","2025-06-08"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","5.15","EUR","S2025-25","Sem du 15-06-2025 au 21-06-2025","2025-06-15"
"Finland","Kesko","x","Terra Delyssa","Extra Virgin","Standard","250ML","BV","Extra Virgin Olive Oil","https://www.k-ruoka.fi/kauppa/tuote/terra-delyssa-evoo-250ml-6191509900701","0","EUR","S2025-26","Sem du 22-06-2025 au 28-06-2025","2025-06-22"
